timestamp,gpu_index,gpu_uuid,utilization_pct,memory_used_mib,memory_total_mib,temperature_c,power_w,sm_clock_mhz,mem_clock_mhz,pstate
2026-07-10T02:19:50,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.77, 210, 405, P8
2026-07-10T02:19:50,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 56, 4693, 10240, 70, 256.43, 1950, 9251, P2
2026-07-10T02:19:51,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.61, 210, 405, P8
2026-07-10T02:19:51,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 57, 4693, 10240, 69, 250.49, 1950, 9251, P2
2026-07-10T02:19:52,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.64, 210, 405, P8
2026-07-10T02:19:52,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 63, 4693, 10240, 69, 255.87, 1950, 9251, P2
2026-07-10T02:19:53,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.79, 210, 405, P8
2026-07-10T02:19:53,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 51, 4693, 10240, 70, 251.18, 1950, 9251, P2
2026-07-10T02:19:54,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.58, 210, 405, P8
2026-07-10T02:19:54,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 66, 4693, 10240, 70, 254.93, 1950, 9251, P2
2026-07-10T02:19:55,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.59, 210, 405, P8
2026-07-10T02:19:55,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 58, 4693, 10240, 70, 255.17, 1965, 9251, P2
2026-07-10T02:19:56,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.76, 210, 405, P8
2026-07-10T02:19:56,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 53, 4693, 10240, 71, 255.84, 1950, 9251, P2
2026-07-10T02:19:57,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.62, 210, 405, P8
2026-07-10T02:19:57,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 62, 4693, 10240, 71, 261.92, 1935, 9251, P2
2026-07-10T02:19:58,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.70, 210, 405, P8
2026-07-10T02:19:58,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 69, 4693, 10240, 71, 262.65, 1920, 9251, P2
2026-07-10T02:19:59,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.91, 210, 405, P8
2026-07-10T02:19:59,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 64, 4693, 10240, 72, 264.58, 1950, 9251, P2
2026-07-10T02:20:00,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.75, 210, 405, P8
2026-07-10T02:20:00,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 67, 4693, 10240, 71, 268.23, 1935, 9251, P2
2026-07-10T02:20:01,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.73, 210, 405, P8
2026-07-10T02:20:01,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 67, 4693, 10240, 71, 269.12, 1920, 9251, P2
2026-07-10T02:20:02,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.91, 210, 405, P8
2026-07-10T02:20:02,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 61, 4693, 10240, 72, 264.81, 1950, 9251, P2
2026-07-10T02:20:03,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.74, 210, 405, P8
2026-07-10T02:20:03,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 59, 4693, 10240, 72, 267.87, 1950, 9251, P2
2026-07-10T02:20:04,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.70, 210, 405, P8
